Outlet_Identifier,Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
OUT049,FDW58,20.75,Low Fat,0.007564836,Snack Foods,107.8622,1999,Medium,Tier 1,Supermarket Type1,
OUT017,FDW14,8.3,Regular,0.038427677,Dairy,87.3198,2007,Small,Tier 2,Supermarket Type1,
OUT010,NCN55,14.6,No Fat Content,0.099574908,Others,241.7538,1998,Small,Tier 3,Grocery Store,
OUT017,FDQ58,7.315,Low Fat,0.015388393,Snack Foods,155.034,2007,Small,Tier 2,Supermarket Type1,
OUT027,FDY38,13.6,Regular,0.118599314,Dairy,234.23,1985,Medium,Tier 3,Supermarket Type3,
OUT046,FDH56,9.8,Regular,0.063817206,Fruits and Vegetables,117.1492,1997,Small,Tier 1,Supermarket Type1,
OUT018,FDL48,19.35,Regular,0.082601537,Baking Goods,50.1034,2009,Medium,Tier 3,Supermarket Type2,
OUT027,FDC48,9.195000000000002,Low Fat,0.015782495,Baking Goods,81.0592,1985,Medium,Tier 3,Supermarket Type3,
OUT045,FDN33,6.305,Regular,0.123365446,Snack Foods,95.7436,2002,Small,Tier 2,Supermarket Type1,
OUT017,FDA36,5.985,Low Fat,0.005698435,Baking Goods,186.8924,2007,Small,Tier 2,Supermarket Type1,
OUT017,FDT44,16.6,Low Fat,0.103569075,Fruits and Vegetables,118.3466,2007,Small,Tier 2,Supermarket Type1,
OUT045,FDQ56,6.59,Low Fat,0.10581147,Fruits and Vegetables,85.3908,2002,Small,Tier 2,Supermarket Type1,
OUT019,NCC54,17.75,No Fat Content,0.171079215,Health and Hygiene,240.4196,1985,Small,Tier 1,Grocery Store,
OUT049,FDU11,4.785,Low Fat,0.092737611,Breads,122.3098,1999,Medium,Tier 1,Supermarket Type1,
OUT013,DRL59,16.75,Low Fat,0.021206464,Hard Drinks,52.0298,1987,High,Tier 3,Supermarket Type1,
OUT049,FDM24,6.135,Regular,0.0794507,Baking Goods,151.6366,1999,Medium,Tier 1,Supermarket Type1,
OUT045,FDI57,19.85,Low Fat,0.05413521,Seafood,198.7768,2002,Small,Tier 2,Supermarket Type1,
OUT018,DRC12,17.85,Low Fat,0.037980963,Soft Drinks,192.2188,2009,Medium,Tier 3,Supermarket Type2,
OUT027,NCM42,6.13,No Fat Content,0.028184344,Household,109.6912,1985,Medium,Tier 3,Supermarket Type3,
OUT010,FDA46,13.6,Low Fat,0.196897637,Snack Foods,193.7136,1998,Small,Tier 3,Grocery Store,
OUT013,FDA31,7.1,Low Fat,0.109920138,Fruits and Vegetables,175.008,1987,High,Tier 3,Supermarket Type1,
OUT035,NCJ31,19.2,No Fat Content,0.182619235,Others,239.9196,2004,Small,Tier 2,Supermarket Type1,
OUT046,FDG52,13.65,Low Fat,0.065630844,Frozen Foods,47.7402,1997,Small,Tier 1,Supermarket Type1,
OUT019,NCL19,15.35,No Fat Content,0.027447057,Others,142.347,1985,Small,Tier 1,Grocery Store,
OUT035,FDS10,19.2,Low Fat,0.035178935,Snack Foods,180.7318,2004,Small,Tier 2,Supermarket Type1,
OUT010,FDX22,6.785,Regular,0.038455125,Snack Foods,209.4928,1998,Small,Tier 3,Grocery Store,
